longitude,latitude,name,url,rating
-78.88023,42.88394,Deco Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d874846-Reviews-Deco_Restaurant-Buffalo_New_York.html,3.5
-78.8627,42.900276,Twisted Pickle,https://www.tripadvisor.com/Restaurant_Review-g60974-d3916359-Reviews-Twisted_Pickle-Buffalo_New_York.html,5.0
-78.83937,42.94755,Lone Star Fajita Grill,https://www.tripadvisor.com/Restaurant_Review-g60974-d408576-Reviews-Lone_Star_Fajita_Grill-Buffalo_New_York.html,4.0
-78.78429,42.92009,Athens Family Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d409124-Reviews-Athens_Family_Restaurant-Buffalo_New_York.html,4.0
-78.86889,42.952,Frank's Sunny Italy Family,https://www.tripadvisor.com/Restaurant_Review-g60974-d408559-Reviews-Frank_s_Sunny_Italy_Family-Buffalo_New_York.html,3.5
-78.8738,42.881794,The Irish Times,https://www.tripadvisor.com/Restaurant_Review-g60974-d841199-Reviews-The_Irish_Times-Buffalo_New_York.html,4.0
-78.74269,42.96322,Sorrentino's Spaghetti House,https://www.tripadvisor.com/Restaurant_Review-g60974-d820009-Reviews-Sorrentino_s_Spaghetti_House-Buffalo_New_York.html,4.0
-78.87701,42.9225,Mezza Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g60974-d2312437-Reviews-Mezza_Restaurant_Lounge-Buffalo_New_York.html,4.0
-78.83038,42.95827,Neighbors Pub,https://www.tripadvisor.com/Restaurant_Review-g60974-d409117-Reviews-Neighbors_Pub-Buffalo_New_York.html,4.5
-78.84944,42.876003,Larkin Filling Station,https://www.tripadvisor.com/Restaurant_Review-g60974-d4765687-Reviews-Larkin_Filling_Station-Buffalo_New_York.html,4.0
-78.85923,42.95458,Hanna Ice Cream Place,https://www.tripadvisor.com/Restaurant_Review-g60974-d857485-Reviews-Hanna_Ice_Cream_Place-Buffalo_New_York.html,4.5
-78.87076,42.89684,Just Vino,https://www.tripadvisor.com/Restaurant_Review-g60974-d1210107-Reviews-Just_Vino-Buffalo_New_York.html,4.5
